kind,depth,n_params,mean_AP,std_AP,pooled_oof_AP,macro_F1,macro_change_acc,final_BCE
m1,1,38,0.120969,0.075820,0.07642606583629924,0.19940400660072224,0.3469294769678916,0.466533
m1,2,74,0.157341,0.082576,0.10103253409965933,0.2309210517544845,0.34403936504739113,0.435776
m1,3,110,0.172795,0.088687,0.10962495089728805,0.2405899649886925,0.33784880108506116,0.429941
m2,1,38,0.117654,0.074758,0.07110606777982965,0.18767102374787242,0.3189003184006968,0.474515
m2,2,74,0.109115,0.053106,0.07689896709593697,0.18577701944812272,0.3343393453099374,0.450713
m2,3,110,0.132920,0.056222,0.09409868700492437,0.20141210718686478,0.32495069966276313,0.447892
mring,1,38,0.109529,0.066794,0.07150123955551138,0.18132494267304805,0.36181369243567874,0.475399
mring,2,74,0.110163,0.048711,0.0796835617217092,0.18240965071455564,0.3440835976852359,0.451871
mring,3,110,0.112686,0.055371,0.07926488001991669,0.18547925965927783,0.3458787571375033,0.450168
